District,Month,Visitors,Year,Season
Mancherial,January,25661.0,2020,Summer
Mancherial,February,41809.0,2020,Summer
Mancherial,March,9855.0,2020,Monsoon
Mancherial,June,210.0,2020,Monsoon
Mancherial,July,290.0,2020,Monsoon
Mancherial,August,302.0,2020,Autumn
Mancherial,September,2758.0,2020,Summer
Mancherial,October,4745.0,2020,Summer
Mancherial,November,6717.0,2020,Monsoon
Mancherial,December,10439.0,2020,Winter
Medak ,January,286340.0,2020,Winter
Medak ,February,818750.0,2020,Summer
Medak ,March,288800.0,2020,Monsoon
Medak ,June,5300.0,2020,Autumn
Medak ,July,4325.0,2020,Monsoon
Medak ,August,15380.0,2020,Summer
Medak ,September,15880.0,2020,Autumn
Medak ,October,17380.0,2020,Winter
Medak ,November,45000.0,2020,Winter
Medak ,December,55000.0,2020,Winter
Medchal ,January,84336.4890920171,2020,Summer
Medchal ,February,84336.4890920171,2020,Winter
Medchal ,March,84336.4890920171,2020,Summer
Medchal ,April,84336.4890920171,2020,Monsoon
Medchal ,May,84336.4890920171,2020,Summer
Medchal ,June,84336.4890920171,2020,Autumn
Medchal ,July,84336.4890920171,2020,Summer
Medchal ,August,84336.4890920171,2020,Winter
Medchal ,September,84336.4890920171,2020,Winter
Medchal ,October,84336.4890920171,2020,Autumn
Medchal ,November,84336.4890920171,2020,Autumn
Medchal ,December,84336.4890920171,2020,Winter
Mulugu,January,3653000.0,2020,Monsoon
Mulugu,February,9157200.0,2020,Winter
Mulugu,March,118500.0,2020,Summer
Mulugu,July,4550.0,2020,Summer
Mulugu,August,8300.0,2020,Winter
Mulugu,September,11300.0,2020,Autumn
Mulugu,October,17600.0,2020,Winter
Mulugu,November,57200.0,2020,Summer
Mulugu,December,60900.0,2020,Winter
Nagarkurnool ,January,228812.0,2020,Winter
Nagarkurnool ,February,286258.0,2020,Winter
Nagarkurnool ,March,32333.0,2020,Summer
Nagarkurnool ,June,34508.0,2020,Winter
Nagarkurnool ,July,66655.0,2020,Summer
Nagarkurnool ,August,80155.0,2020,Autumn
Nagarkurnool ,September,175712.0,2020,Monsoon
Nagarkurnool ,October,95788.0,2020,Autumn
Nagarkurnool ,November,77869.0,2020,Autumn
Nagarkurnool ,December,85280.0,2020,Winter
Nalgonda,January,10127.0,2020,Monsoon
Nalgonda,February,9154.0,2020,Summer
Nalgonda,March,772.0,2020,Monsoon
Nalgonda,June,218.0,2020,Winter
Nalgonda,July,224.0,2020,Autumn
Nalgonda,August,558.0,2020,Summer
Nalgonda,September,2480.0,2020,Autumn
Nalgonda,October,8541.0,2020,Monsoon
Nalgonda,November,6242.0,2020,Winter
Nalgonda,December,8514.0,2020,Summer
Narayanapet,January,47272.0,2020,Winter
Narayanapet,February,244657.0,2020,Summer
Narayanapet,March,21907.0,2020,Autumn
Narayanapet,June,20907.0,2020,Summer
Narayanapet,July,39820.0,2020,Summer
Narayanapet,August,34777.0,2020,Winter
Narayanapet,September,62841.0,2020,Monsoon
Narayanapet,October,52309.0,2020,Autumn
Narayanapet,November,49597.0,2020,Monsoon
Narayanapet,December,56031.0,2020,Winter
Nirmal,January,368292.0,2020,Autumn
Nirmal,February,299646.0,2020,Autumn
Nirmal,March,253116.0,2020,Monsoon
Nirmal,June,5040.0,2020,Monsoon
Nirmal,July,9212.0,2020,Autumn
Nirmal,August,10336.0,2020,Winter
Nirmal,September,13377.0,2020,Winter
Nirmal,October,28586.0,2020,Winter
Nirmal,November,73126.0,2020,Monsoon
Nirmal,December,110808.0,2020,Summer
Nizamabad,January,7540.0,2020,Winter
Nizamabad,February,6400.0,2020,Monsoon
Nizamabad,March,6750.0,2020,Autumn
Nizamabad,July,1620.0,2020,Monsoon
Nizamabad,August,2020.0,2020,Winter
Nizamabad,September,10050.0,2020,Monsoon
Nizamabad,October,6310.0,2020,Summer
Nizamabad,November,10900.0,2020,Monsoon
Nizamabad,December,40400.0,2020,Winter
Peddapalli,January,2945.0,2020,Monsoon
Peddapalli,February,2315.0,2020,Autumn
Peddapalli,March,1450.0,2020,Winter
Peddapalli,June,445.0,2020,Winter
Peddapalli,July,250.0,2020,Winter
Peddapalli,August,1250.0,2020,Summer
Peddapalli,September,800.0,2020,Monsoon
Peddapalli,October,600.0,2020,Summer
Peddapalli,November,650.0,2020,Monsoon
Peddapalli,December,1105.0,2020,Winter
Rajanna Sircilla ,January,2298291.0,2020,Autumn
Rajanna Sircilla ,February,963871.0,2020,Winter
Rajanna Sircilla ,March,885559.0,2020,Summer
Rajanna Sircilla ,June,76026.0,2020,Monsoon
Rajanna Sircilla ,July,60636.0,2020,Monsoon
Rajanna Sircilla ,August,110783.0,2020,Monsoon
Rajanna Sircilla ,September,121976.0,2020,Autumn
Rajanna Sircilla ,October,181929.0,2020,Summer
Rajanna Sircilla ,November,391170.0,2020,Autumn
Rajanna Sircilla ,December,535298.0,2020,Summer
Ranga Reddy,January,84336.4890920171,2020,Autumn
Ranga Reddy,February,84336.4890920171,2020,Summer
Ranga Reddy,March,84336.4890920171,2020,Summer
Ranga Reddy,April,84336.4890920171,2020,Autumn
Ranga Reddy,May,84336.4890920171,2020,Winter
Ranga Reddy,June,84336.4890920171,2020,Winter
Ranga Reddy,July,84336.4890920171,2020,Summer
Ranga Reddy,August,84336.4890920171,2020,Summer
Ranga Reddy,September,84336.4890920171,2020,Summer
Ranga Reddy,October,84336.4890920171,2020,Summer
Ranga Reddy,November,84336.4890920171,2020,Monsoon
Ranga Reddy,December,84336.4890920171,2020,Monsoon
Sangareddy ,January,213000.0,2020,Monsoon
Sangareddy ,February,755000.0,2020,Summer
Sangareddy ,March,235000.0,2020,Winter
Sangareddy ,June,9500.0,2020,Monsoon
Sangareddy ,July,27400.0,2020,Autumn
Sangareddy ,August,45400.0,2020,Winter
Sangareddy ,September,47900.0,2020,Autumn
Sangareddy ,October,55400.0,2020,Monsoon
Sangareddy ,November,149000.0,2020,Summer
Sangareddy ,December,167000.0,2020,Monsoon
Siddipet,January,473350.0,2020,Monsoon
Siddipet,February,204885.0,2020,Summer
Siddipet,March,123000.0,2020,Winter
Siddipet,June,19846.0,2020,Winter
Siddipet,July,23864.0,2020,Winter
Siddipet,August,27307.0,2020,Autumn
Siddipet,September,30980.0,2020,Autumn
Siddipet,October,73367.0,2020,Monsoon
Siddipet,November,72049.0,2020,Winter
Siddipet,December,173000.0,2020,Monsoon
Suryapet,January,84336.4890920171,2020,Winter
Suryapet,February,84336.4890920171,2020,Winter
Suryapet,March,84336.4890920171,2020,Winter
Suryapet,April,84336.4890920171,2020,Autumn
Suryapet,May,84336.4890920171,2020,Summer
Suryapet,June,84336.4890920171,2020,Monsoon
Suryapet,July,84336.4890920171,2020,Winter
Suryapet,August,84336.4890920171,2020,Summer
Suryapet,September,84336.4890920171,2020,Summer
Suryapet,October,84336.4890920171,2020,Summer
Suryapet,November,84336.4890920171,2020,Winter
Suryapet,December,84336.4890920171,2020,Autumn
Vikarabad,January,84336.4890920171,2020,Monsoon
Vikarabad,February,84336.4890920171,2020,Winter
Vikarabad,March,84336.4890920171,2020,Autumn
Vikarabad,April,84336.4890920171,2020,Summer
Vikarabad,May,84336.4890920171,2020,Winter
Vikarabad,June,84336.4890920171,2020,Winter
Vikarabad,July,84336.4890920171,2020,Winter
Vikarabad,August,84336.4890920171,2020,Monsoon
Vikarabad,September,84336.4890920171,2020,Summer
Vikarabad,October,84336.4890920171,2020,Monsoon
Vikarabad,November,84336.4890920171,2020,Autumn
Vikarabad,December,84336.4890920171,2020,Monsoon
Wanaparthy ,January,28131.0,2020,Autumn
Wanaparthy ,February,22342.0,2020,Monsoon
Wanaparthy ,March,7050.0,2020,Winter
Wanaparthy ,June,4050.0,2020,Monsoon
Wanaparthy ,July,17092.0,2020,Summer
Wanaparthy ,August,30860.0,2020,Autumn
Wanaparthy ,September,21375.0,2020,Monsoon
Wanaparthy ,October,29683.0,2020,Winter
Wanaparthy ,November,29036.0,2020,Summer
Wanaparthy ,December,27057.0,2020,Summer
Warangal (Rural),January,31550.0,2020,Winter
Warangal (Rural),February,31050.0,2020,Autumn
Warangal (Rural),March,26050.0,2020,Summer
Warangal (Rural),July,560.0,2020,Monsoon
Warangal (Rural),August,870.0,2020,Autumn
Warangal (Rural),September,1550.0,2020,Autumn
Warangal (Rural),October,2060.0,2020,Winter
Warangal (Rural),November,7550.0,2020,Autumn
Warangal (Rural),December,7530.0,2020,Autumn
Warangal (Urban),January,157630.0,2020,Monsoon
Warangal (Urban),February,157950.0,2020,Autumn
Warangal (Urban),March,102520.0,2020,Autumn
Warangal (Urban),July,7300.0,2020,Winter
Warangal (Urban),August,9150.0,2020,Summer
Warangal (Urban),September,12050.0,2020,Autumn
Warangal (Urban),October,18350.0,2020,Autumn
Warangal (Urban),November,91120.0,2020,Monsoon
Warangal (Urban),December,92455.0,2020,Winter
Yadadri Bhongir,January,493002.0,2020,Summer
Yadadri Bhongir,February,527311.0,2020,Summer
Yadadri Bhongir,March,125380.0,2020,Summer
Yadadri Bhongir,June,76480.0,2020,Monsoon
Yadadri Bhongir,July,25375.0,2020,Winter
Yadadri Bhongir,August,110587.0,2020,Summer
Yadadri Bhongir,September,110595.0,2020,Winter
Yadadri Bhongir,October,481320.0,2020,Monsoon
Yadadri Bhongir,November,381150.0,2020,Autumn
Yadadri Bhongir,December,321254.0,2020,Winter
Adilabad,January,18203.0,2021,Summer
Adilabad,February,271255.0,2021,Autumn
Adilabad,March,15907.0,2021,Winter
Adilabad,April,6955.0,2021,Winter
Adilabad,May,1191.0,2021,Autumn
Adilabad,June,3407.0,2021,Summer
Adilabad,July,26885.0,2021,Winter
Adilabad,August,25338.0,2021,Summer
Adilabad,September,17672.0,2021,Autumn
Adilabad,October,16095.0,2021,Monsoon
Adilabad,November,73753.0,2021,Winter
Adilabad,December,18484.0,2021,Winter
Bhadradri Kothagudem,January,199340.0,2021,Autumn
Bhadradri Kothagudem,February,163761.0,2021,Monsoon
Bhadradri Kothagudem,March,83871.0,2021,Autumn
Bhadradri Kothagudem,April,38456.0,2021,Monsoon
Bhadradri Kothagudem,May,9329.0,2021,Winter
Bhadradri Kothagudem,June,20090.0,2021,Autumn
Bhadradri Kothagudem,July,63082.0,2021,Winter
Bhadradri Kothagudem,August,70386.0,2021,Winter
Bhadradri Kothagudem,September,88451.0,2021,Summer
Bhadradri Kothagudem,October,104063.0,2021,Winter
Bhadradri Kothagudem,November,84828.0,2021,Summer
Bhadradri Kothagudem,December,105685.0,2021,Monsoon
Hanumakonda,January,90800.0,2021,Autumn
Hanumakonda,February,89900.0,2021,Winter
Hanumakonda,March,91970.0,2021,Monsoon
Hanumakonda,April,89430.0,2021,Winter
Hanumakonda,May,14510.0,2021,Autumn
Hanumakonda,June,10050.0,2021,Monsoon
Hanumakonda,July,40670.0,2021,Winter
Hanumakonda,August,39220.0,2021,Summer
Hanumakonda,September,42340.0,2021,Winter
Hanumakonda,October,38650.0,2021,Winter
Hanumakonda,November,37910.0,2021,Monsoon
Hanumakonda,December,38125.0,2021,Winter
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,828057.0,2021,Autumn
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,657955.0,2021,Summer
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,589239.0,2021,Monsoon
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,216683.0,2021,Autumn
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,50064.0,2021,Summer
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,205368.0,2021,Autumn
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,384455.0,2021,Summer
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,603815.0,2021,Autumn
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,533745.0,2021,Monsoon
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,743442.0,2021,Monsoon
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,938466.0,2021,Autumn
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,1042809.0,2021,Monsoon
Jagtial,January,154626.0,2021,Summer
Jagtial,February,155602.0,2021,Autumn
Jagtial,March,303738.0,2021,Summer
Jagtial,April,74401.0,2021,Winter
Jagtial,May,2555.0,2021,Autumn
Jagtial,June,43196.0,2021,Summer
Jagtial,July,187220.0,2021,Winter
Jagtial,August,191483.0,2021,Winter
Jagtial,September,169440.0,2021,Monsoon
Jagtial,October,172570.0,2021,Winter
Jagtial,November,260498.0,2021,Monsoon
Jagtial,December,255232.0,2021,Summer
Jangaon,January,11545.0,2021,Summer
Jangaon,February,11440.0,2021,Autumn
Jangaon,March,11950.0,2021,Summer
Jangaon,April,10340.0,2021,Monsoon
Jangaon,May,3275.0,2021,Autumn
Jangaon,June,2470.0,2021,Summer
Jangaon,July,6580.0,2021,Autumn
Jangaon,August,7085.0,2021,Autumn
Jangaon,September,7180.0,2021,Winter
Jangaon,October,10360.0,2021,Winter
Jangaon,November,6140.0,2021,Autumn
Jangaon,December,6140.0,2021,Autumn
Jayashankar Bhoopalpally,January,15700.0,2021,Winter
Jayashankar Bhoopalpally,February,15800.0,2021,Summer
Jayashankar Bhoopalpally,March,16400.0,2021,Winter
Jayashankar Bhoopalpally,April,14900.0,2021,Winter
Jayashankar Bhoopalpally,May,5600.0,2021,Summer
Jayashankar Bhoopalpally,June,4400.0,2021,Monsoon
Jayashankar Bhoopalpally,July,9000.0,2021,Summer
Jayashankar Bhoopalpally,August,10500.0,2021,Summer
Jayashankar Bhoopalpally,September,10700.0,2021,Monsoon
Jayashankar Bhoopalpally,October,11000.0,2021,Monsoon
Jayashankar Bhoopalpally,November,10500.0,2021,Summer
Jayashankar Bhoopalpally,December,10900.0,2021,Autumn
JogulambaGadwai,January,169350.0,2021,Winter
JogulambaGadwai,February,400254.0,2021,Summer
JogulambaGadwai,March,520014.0,2021,Winter
JogulambaGadwai,April,248566.0,2021,Winter
JogulambaGadwai,May,990.0,2021,Autumn
JogulambaGadwai,June,39894.0,2021,Autumn
JogulambaGadwai,July,278769.0,2021,Autumn
JogulambaGadwai,August,174508.0,2021,Summer
JogulambaGadwai,September,154900.0,2021,Summer
JogulambaGadwai,October,185052.0,2021,Summer
JogulambaGadwai,November,220734.0,2021,Summer
JogulambaGadwai,December,229051.0,2021,Winter
Kamareddy,January,43.0,2021,Summer
Kamareddy,February,40.0,2021,Autumn
Kamareddy,March,49.0,2021,Autumn
Kamareddy,April,26.0,2021,Monsoon
Kamareddy,May,0.0,2021,Monsoon
Kamareddy,June,24.0,2021,Summer
Kamareddy,July,41.0,2021,Winter
Kamareddy,August,48.0,2021,Summer
Kamareddy,September,33.0,2021,Autumn
Kamareddy,October,40.0,2021,Autumn
Kamareddy,November,42.0,2021,Autumn
Kamareddy,December,45.0,2021,Winter
Karimnagar,January,5965.0,2021,Winter
Karimnagar,February,5670.0,2021,Monsoon
Karimnagar,March,6800.0,2021,Autumn
Karimnagar,April,1924.0,2021,Monsoon
Karimnagar,May,601.0,2021,Summer
Karimnagar,June,450.0,2021,Summer
Karimnagar,July,4750.0,2021,Winter
Karimnagar,August,6320.0,2021,Monsoon
Karimnagar,September,5475.0,2021,Winter
Karimnagar,October,4410.0,2021,Monsoon
Karimnagar,November,3525.0,2021,Winter
Karimnagar,December,3750.0,2021,Monsoon
Khammam,January,81711.0,2021,Summer
Khammam,February,59065.0,2021,Monsoon
Khammam,March,47862.0,2021,Summer
Khammam,April,30882.0,2021,Autumn
Khammam,May,11240.0,2021,Autumn
Khammam,June,12443.0,2021,Autumn
Khammam,July,19400.0,2021,Autumn
Khammam,August,18781.0,2021,Winter
Khammam,September,29256.0,2021,Autumn
Khammam,October,36965.0,2021,Autumn
Khammam,November,45533.0,2021,Winter
Khammam,December,53316.0,2021,Summer
KommramBheentAsifabad,January,410.0,2021,Monsoon
KommramBheentAsifabad,February,466.0,2021,Summer
KommramBheentAsifabad,March,491.0,2021,Winter
KommramBheentAsifabad,April,349.0,2021,Monsoon
KommramBheentAsifabad,May,88.0,2021,Summer
KommramBheentAsifabad,June,128.0,2021,Summer
KommramBheentAsifabad,July,154.0,2021,Winter
KommramBheentAsifabad,August,175.0,2021,Winter
KommramBheentAsifabad,September,176.0,2021,Monsoon
KommramBheentAsifabad,October,21030.0,2021,Winter
KommramBheentAsifabad,November,371.0,2021,Winter
KommramBheentAsifabad,December,587.0,2021,Autumn
Mahabubabad,January,3060.0,2021,Winter
Mahabubabad,February,3155.0,2021,Winter
Mahabubabad,March,3320.0,2021,Winter
Mahabubabad,April,3240.0,2021,Autumn
Mahabubabad,May,940.0,2021,Winter
Mahabubabad,June,880.0,2021,Monsoon
Mahabubabad,July,1970.0,2021,Monsoon
Mahabubabad,August,3480.0,2021,Winter
Mahabubabad,September,3420.0,2021,Autumn
Mahabubabad,October,3505.0,2021,Monsoon
Mahabubabad,November,3470.0,2021,Monsoon
Mahabubabad,December,3480.0,2021,Summer
Mahbubnagar,January,112443.0,2021,Monsoon
Mahbubnagar,February,653029.0,2021,Monsoon
Mahbubnagar,March,375235.0,2021,Winter
Mahbubnagar,April,270751.0,2021,Autumn
Mahbubnagar,May,5264.0,2021,Winter
Mahbubnagar,June,32923.0,2021,Monsoon
Mahbubnagar,July,300593.0,2021,Autumn
Mahbubnagar,August,299804.0,2021,Winter
Mahbubnagar,September,250520.0,2021,Winter
Mahbubnagar,October,208937.0,2021,Summer
Mahbubnagar,November,675277.0,2021,Winter
Mahbubnagar,December,205813.0,2021,Autumn
Mancherial,January,14998.0,2021,Autumn
Mancherial,February,12438.0,2021,Monsoon
Mancherial,March,7304.0,2021,Monsoon
Mancherial,April,6000.0,2021,Winter
Mancherial,May,1466.0,2021,Monsoon
Mancherial,June,1503.0,2021,Autumn
Mancherial,July,4134.0,2021,Autumn
Mancherial,August,7294.0,2021,Summer
Mancherial,September,5668.0,2021,Monsoon
Mancherial,October,5130.0,2021,Winter
Mancherial,November,5988.0,2021,Summer
Mancherial,December,9372.0,2021,Winter
Medak,January,48000.0,2021,Monsoon
Medak,February,44000.0,2021,Winter
Medak,March,49000.0,2021,Winter
Medak,April,39000.0,2021,Autumn
Medak,May,4000.0,2021,Autumn
Medak,June,15000.0,2021,Monsoon
Medak,July,16000.0,2021,Monsoon
Medak,August,33500.0,2021,Monsoon
Medak,September,15500.0,2021,Summer
Medak,October,17500.0,2021,Summer
Medak,November,20000.0,2021,Winter
Medak,December,16350.0,2021,Summer
Mulugu,January,61800.0,2021,Summer
Mulugu,February,62400.0,2021,Winter
Mulugu,March,65550.0,2021,Monsoon
Mulugu,April,65650.0,2021,Monsoon
Mulugu,May,19850.0,2021,Autumn
Mulugu,June,19850.0,2021,Summer
Mulugu,July,36800.0,2021,Winter
Mulugu,August,44050.0,2021,Summer
Mulugu,September,47055.0,2021,Winter
Mulugu,October,41000.0,2021,Monsoon
Mulugu,November,51060.0,2021,Monsoon
Mulugu,December,45550.0,2021,Monsoon
Nagarkurnool,January,88188.0,2021,Winter
Nagarkurnool,February,84801.0,2021,Autumn
Nagarkurnool,March,82629.0,2021,Autumn
Nagarkurnool,April,85938.0,2021,Monsoon
Nagarkurnool,May,900.0,2021,Winter
Nagarkurnool,June,31800.0,2021,Monsoon
Nagarkurnool,July,114690.0,2021,Summer
Nagarkurnool,August,123210.0,2021,Summer
Nagarkurnool,September,104510.0,2021,Summer
Nagarkurnool,October,91559.0,2021,Autumn
Nagarkurnool,November,117740.0,2021,Autumn
Nagarkurnool,December,111530.0,2021,Winter
Nalgonda & Suryapet,January,9097.0,2021,Monsoon
Nalgonda & Suryapet,February,6126.0,2021,Autumn
Nalgonda & Suryapet,March,5729.0,2021,Summer
Nalgonda & Suryapet,April,1033.0,2021,Autumn
Nalgonda & Suryapet,May,148.0,2021,Winter
Nalgonda & Suryapet,June,1044.0,2021,Summer
Nalgonda & Suryapet,July,6744.0,2021,Monsoon
Nalgonda & Suryapet,August,7852.0,2021,Autumn
Nalgonda & Suryapet,September,21650.0,2021,Autumn
Nalgonda & Suryapet,October,14431.0,2021,Monsoon
Nalgonda & Suryapet,November,7684.0,2021,Summer
Nalgonda & Suryapet,December,12528.0,2021,Monsoon
Narayanapet,January,45720.0,2021,Autumn
Narayanapet,February,34377.0,2021,Summer
Narayanapet,March,34327.0,2021,Autumn
Narayanapet,April,24289.0,2021,Summer
Narayanapet,May,328.0,2021,Winter
Narayanapet,June,6010.0,2021,Monsoon
Narayanapet,July,26950.0,2021,Autumn
Narayanapet,August,24200.0,2021,Summer
Narayanapet,September,19500.0,2021,Summer
Narayanapet,October,23700.0,2021,Monsoon
Narayanapet,November,27400.0,2021,Winter
Narayanapet,December,24250.0,2021,Winter
Nirmal,January,154786.0,2021,Monsoon
Nirmal,February,225686.0,2021,Monsoon
Nirmal,March,205287.0,2021,Winter
Nirmal,April,125395.0,2021,Winter
Nirmal,May,25969.0,2021,Summer
Nirmal,June,7048.0,2021,Winter
Nirmal,July,125523.0,2021,Monsoon
Nirmal,August,173301.0,2021,Autumn
Nirmal,September,225421.0,2021,Monsoon
Nirmal,October,265203.0,2021,Monsoon
Nirmal,November,228200.0,2021,Autumn
Nirmal,December,195660.0,2021,Winter
Nizamabad,January,9450.0,2021,Autumn
Nizamabad,February,50500.0,2021,Monsoon
Nizamabad,March,61080.0,2021,Monsoon
Nizamabad,April,30430.0,2021,Monsoon
Nizamabad,May,0.0,2021,Summer
Nizamabad,June,2020.0,2021,Autumn
Nizamabad,July,14050.0,2021,Summer
Nizamabad,August,19580.0,2021,Summer
Nizamabad,September,12580.0,2021,Autumn
Nizamabad,October,13600.0,2021,Autumn
Nizamabad,November,19090.0,2021,Summer
Nizamabad,December,10120.0,2021,Summer
Peddapalli,January,1150.0,2021,Summer
Peddapalli,February,1245.0,2021,Autumn
Peddapalli,March,2610.0,2021,Winter
